Timestamp,How would you categorize your knowledge of 17th Century art ,Do you know the name of this artwork ,"If I told you there is a movie name after it. in the movie, a young peasant maid working in the house of painter Johannes Vermee. Would you know the name?",If I gave you the hint (girl with a____)  . Do you name of this art work,Do you know the name of the art work after seeing the picture or after seeing the hints. (girl with a pearl earring) ,Did you know most of the name but didn’t know the full name 
4/26/2022 16:20:12,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:20:13,Novice,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 16:23:35,Novice,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,Still don’t know,I was completely lost
4/26/2022 16:24:27,Novice,No,I am familiar but still don’t know the name,Yes,After seeing both hints,Yes
4/26/2022 16:25:00,Novice,I am familiar with it but I don’t know the name,No,Yes,After seeing both hints,Yes
4/26/2022 16:25:12,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:27:24,Novice,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 16:28:13,Intermediate,Yes,Yes,Yes,After seeing the pictures,Yes
4/26/2022 16:28:52,Novice,Yes,No,Yes,After seeing the first hints,Yes
4/26/2022 16:29:18,Novice,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 16:30:37,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:33:17,Novice,I am familiar with it but I don’t know the name,No,Yes,After seeing both hints,No
4/26/2022 16:38:30,Novice,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 16:43:03,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:43:39,Novice,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,Still don’t know,I was completely lost
4/26/2022 16:45:00,Intermediate,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,Still don’t know,I was completely lost
4/26/2022 16:46:57,Novice,Yes,Yes,Yes,After seeing the pictures,Yes
4/26/2022 16:47:04,Novice,Yes,No,Yes,After seeing the pictures,Yes
4/26/2022 16:47:23,Intermediate,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 16:47:26,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:51:07,Novice,I am familiar with it but I don’t know the name,No,No,After seeing both hints,Yes
4/26/2022 16:52:19,Novice,No,No,Yes,After seeing both hints,Yes
4/26/2022 16:52:26,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,I was completely lost
4/26/2022 16:53:29,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,No
